"name","minutes","tags","n_steps","steps","ingredients"
"arriba   baked winter squash mexican style","55","60-minutes-or-less, side-dishes, mexican, easy, fall, holiday-event, vegetarian, winter, north-american","11","1. make a choice and proceed with recipe. 2. depending on size of squash , cut into half or fourths. 3. remove seeds. 4. for spicy squash , drizzle olive oil or melted butter over each cut squash piece. 5. season with mexican seasoning mix ii. 6. for sweet squash , drizzle melted honey , butter , grated piloncillo over each cut squash piece. 7. season with sweet mexican spice mix. 8. bake at 350 degrees , again depending on size , for 40 minutes up to an hour , until a fork can easily pierce the skin. 9. be careful not to burn the squash especially if you opt to use sugar or butter. 10. if you feel more comfortable , cover the squash with aluminum foil the first half hour , give or take , of baking. 11. if desired , season with salt","winter squash, mexican seasoning, mixed spice, honey, butter, olive oil, salt"
"a bit different  breakfast pizza","30","easy, 30-minutes-or-less, breakfast, main-dish, kid-friendly, north-american, meat","9","1. preheat oven to 425 degrees f. 2. press dough into the bottom and sides of a 12 inch pizza pan. 3. bake for 5 minutes until set but not browned. 4. cut sausage into small pieces. 5. whisk eggs and milk in a bowl until frothy. 6. spoon sausage over baked crust and sprinkle with cheese. 7. pour egg mixture slowly over sausage and cheese. 8. s& p to taste. 9. bake 15-20 minutes or until eggs are set and crust is brown","prepared pizza crust, sausage patty, eggs, milk, salt and pepper, cheese"
"all in the kitchen  chili","130","main-dish","6","1. brown ground beef in large pot. 2. add chopped onions to ground beef when almost brown and sautee until wilted. 3. add all other ingredients. 4. add kidney beans if you like beans in your chili. 5. cook in slow cooker on high for 2-3 hours or 6-8 hours on low. 6. serve with cold clean lettuce and shredded cheese","ground beef, yellow onions, diced tomatoes, tomato paste, tomato soup, rotel tomatoes, kidney beans, water, chili powder, ground cumin, salt, lettuce, cheddar cheese"
"alouette  potatoes","45","60-minutes-or-less, side-dishes, easy, holiday-event","11","1. place potatoes in a large pot of lightly salted water and bring to a gentle boil. 2. cook until potatoes are just tender. 3. drain. 4. place potatoes in a large bowl and add all ingredients except the""alouette"". 5. mix well and transfer to a buttered 8x8 inch glass baking dish with 2 inch sides. 6. press the potatoes with a spatula to make top as flat as possible. 7. set aside for 2 hours at room temperature. 8. preheat oven to 350^f. 9. spread""alouette"" evenly over potatoes and bake 15 minutes. 10. divide between plates. 11. garnish with finely diced red and yellow bell peppers","spreadable cheese with garlic and herbs, new potatoes, shallots, parsley, tarragon, olive oil, red wine vinegar, salt, pepper, red bell pepper, yellow bell pepper"
"amish  tomato ketchup  for canning","190","holiday-event, vegetarian, north-american","5","1. mix all ingredients& boil for 2 1 / 2 hours , or until thick. 2. pour into jars, ""i useold glass ketchup bottles"", ""it is not necessary for these toseal"", ""my amish mother-in-law has been making this her entire life , and has never used asealed jar for this recipe , and its always been great !""","tomato juice, apple cider vinegar, sugar, salt, pepper, clove oil, cinnamon oil, dry mustard"
"apple a day  milk shake","0","easy, kid-friendly, 15-minutes-or-less, north-american","4","1. combine ingredients in blender. 2. cover and blend until smooth. 3. sprinkle with ground cinnamon. 4. makes about 2 cups","milk, vanilla ice cream, frozen apple juice concentrate, apple"
"aww  marinated olives","15","vegetarian, 15-minutes-or-less, north-american, vegan","4","1. toast the fennel seeds and lightly crush them. 2. place all the ingredients in a bowl , stir well. 3. cover and leave to marinate. 4. keep refrigerated and use within 1 to 2 days","fennel seeds, green olives, ripe olives, garlic, peppercorn, orange rind, orange juice, red chile, extra virgin olive oil"
"backyard style  barbecued ribs","120","holiday-event, main-dish, north-american, meat","10","1. in a medium saucepan combine all the ingredients for sauce#1 , bring to a full rolling boil , reduce heat to medium low and simmer for 1 hour , stirring often. 2. rub the ribs with soy sauce , garlic , ginger , chili powder , pepper , salt and chopped cilantro , both sides !. 3. wrap ribs in heavy duty foil. 4. let stand 1 hour. 5. preheat oven to 350 degrees. 6. place ribs in oven for 1 hour , turning once after 30 minutes. 7. 3 times during cooking the ribs open foil wrap and drizzle ribs with sauce#1. 8. place all the ingredients for sauce#2 in a glass or plastic bowl , whisk well and set aside. 9. remove ribs from oven and place on serving platter. 10. offer both sauces at table to drizzle over ribs","pork spareribs, soy sauce, fresh garlic, fresh ginger, chili powder, fresh coarse ground black pepper, salt, fresh cilantro leaves, tomato sauce, brown sugar, yellow onion, white vinegar, honey, a.1. original sauce, liquid smoke, cracked black pepper, cumin, dry mustard, cinnamon sticks, orange, juice of, mirin, water"
"bananas 4 ice cream  pie","180","kid-friendly, desserts, no-cook","8","1. crumble cookies into a 9-inch pie plate , or cake pan. 2. pat down to form an even layer. 3. drizzle 1 cup of chocolate topping evenly over the cookies with a small spoon. 4. scoop the vanilla ice cream on top of the chocolate and smooth down. 5. cover with half of the sliced bananas. 6. top with strawberry ice cream. 7. cover and freeze until firm. 8. before serving , top with 1 / 4 cup chocolate topping , whipped cream , and sliced bananas","chocolate sandwich style cookies, chocolate syrup, vanilla ice cream, bananas, strawberry ice cream, whipped cream"
"beat this  banana bread","70","breakfast","12","1. preheat oven to 350 degrees. 2. butter two 9x5"" loaf pans. 3. cream the sugar and the butter until light and whipped. 4. add the bananas , eggs , lemon juice , orange rind. 5. beat until blended uniformly. 6. be patient , and beat until the banana lumps are gone. 7. sift the dry ingredients together. 8. fold lightly and thoroughly into the banana mixture. 9. pour the batter into prepared loaf pans. 10. bake for 45 to 55 minutes , until the loaves are firm in the middle and the edges begin to pull away from the pans. 11. cool the loaves on racks for 30 minutes before removing from the pans. 12. freezes well","sugar, unsalted butter, bananas, eggs, fresh lemon juice, orange rind, cake flour, baking soda, salt"
